sBathroom,sBedroom,sBed Extension,sCloset,sDining,sFoyer,sHall,sKitchen,sLiving,sMaster Bedroom,sTv Room,sWashing,sWaking Cl,lBathroom,lBedroom,lBed Extension,lCloset,lDining,lFoyer,lHall,lKitchen,lLiving,lMaster Bedroom,lTv Room,lWashing,lWaking Cl,aBathroom,aBedroom,aBed Extension,aCloset,aDining,aFoyer,aHall,aKitchen,aLiving,aMaster Bedroom,aTv Room,aWashing,aWaking Cl,pBathroom,pBedroom,pBed Extension,pCloset,pDining,pFoyer,pHall,pKitchen,pLiving,pMaster Bedroom,pTv Room,pWashing,pWaking Cl,tBathroom,tBedroom,tBed Extension,tCloset,tDining,tFoyer,tHall,tKitchen,tLiving,tMaster Bedroom,tTv Room,tWashing,tWaking Cl,dBathroom,dBedroom,dBed Extension,dCloset,dDining,dFoyer,dHall,dKitchen,dLiving,dMaster Bedroom,dTv Room,dWashing,dWaking Cl,wBathroom,wBedroom,wBed Extension,wCloset,wDining,wFoyer,wHall,wKitchen,wLiving,wMaster Bedroom,wTv Room,wWashing,wWaking Cl,xBathroom,xBedroom,xBed Extension,xCloset,xDining,xFoyer,xHall,xKitchen,xLiving,xMaster Bedroom,xTv Room,xWashing,xWaking Cl,yBathroom,yBedroom,yBed Extension,yCloset,yDining,yFoyer,yHall,yKitchen,yLiving,yMaster Bedroom,yTv Room,yWashing,yWaking Cl,jBathroom,jBedroom,jBed Extension,jCloset,jDining,jFoyer,jHall,jKitchen,jLiving,jMaster Bedroom,jTv Room,jWashing,jWaking Cl,cBathroom,cBedroom,cBed Extension,cCloset,cDining,cFoyer,cHall,cKitchen,cLiving,cMaster Bedroom,cTv Room,cWashing,cWaking Cl
1.5,3,0.6,0.6,3,1.5,1.5,3,4.5,3.9,3,1.5,0.6,2.5,3.9,1.2,3,4,2.1,1.5,3,6,4.5,3,3,4.5,3.75,11.7,0.72,1.8,12,3.15,2.25,9,27,17.55,9,4.5,2.7,0.6,0.77,0.5,0.2,0.75,0.71,1,1,0.75,0.87,1,0.5,0.13,0.046296296,0.144444444,0.008888889,0.022222222,0.148148148,0.038888889,0.027777778,0.111111111,0.333333333,0.216666667,0.111111111,0.055555556,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ha,"Ha,Cl","Ha,Cl",Be,Ki,Li,"Li,Ba,Be","Wa,Li","Ki,Wa",Wc,"Li,Ki","Ki,Li","Mb,Ba",Ha,Ha,Ha,Be,Li,Ha,Li,Li,Ha,Ha,Li,Ki,Mb
1.5,3,0.6,0.6,3,1.5,1.5,3,4.5,3.9,3,1.5,0.6,2.5,3.9,1.2,3,4,2.1,1.5,3,6,4.5,3,3,4.5,3.75,11.7,0.72,1.8,12,3.15,2.25,9,27,17.55,9,4.5,2.7,0.6,0.77,0.5,0.2,0.75,0.71,1,1,0.75,0.87,1,0.5,0.13,0.046296296,0.144444444,0.008888889,0.022222222,0.148148148,0.038888889,0.027777778,0.111111111,0.333333333,0.216666667,0.111111111,0.055555556,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ha,"Ha,Cl","Ha,Cl",Be,Ki,Li,"Li,Ba,Be","Wa,Li","Ki,Wa",Wc,"Li,Ki","Ki,Li","Mb,Ba",Ha,Ha,Ha,Be,Li,Ha,Li,Li,Ha,Ha,Li,Ki,Mb
1.5,3,0.6,0.6,3,1.5,1.5,3,4.5,3.9,3,1.5,0.6,2.5,3.9,1.2,3,4,2.1,1.5,3,6,4.5,3,3,4.5,3.75,11.7,0.72,1.8,12,3.15,2.25,9,27,17.55,9,4.5,2.7,0.6,0.77,0.5,0.2,0.75,0.71,1,1,0.75,0.87,1,0.5,0.13,0.046296296,0.144444444,0.008888889,0.022222222,0.148148148,0.038888889,0.027777778,0.111111111,0.333333333,0.216666667,0.111111111,0.055555556,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ha,"Ha,Cl","Ha,Cl",Be,Ki,Li,"Li,Ba,Be","Wa,Li","Ki,Wa",Wc,"Li,Ki","Ki,Li","Mb,Ba",Ha,Ha,Ha,Be,Li,Ha,Li,Li,Ha,Ha,Li,Ki,Mb
1.5,3,0.6,0.6,3,1.5,1.5,3,4.5,3.9,3,1.5,0.6,2.5,3.9,1.2,3,4,2.1,1.5,3,6,4.5,3,3,4.5,3.75,11.7,0.72,1.8,12,3.15,2.25,9,27,17.55,9,4.5,2.7,0.6,0.77,0.5,0.2,0.75,0.71,1,1,0.75,0.87,1,0.5,0.13,0.046296296,0.144444444,0.008888889,0.022222222,0.148148148,0.038888889,0.027777778,0.111111111,0.333333333,0.216666667,0.111111111,0.055555556,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ha,"Ha,Cl","Ha,Cl",Be,Ki,Li,"Li,Ba,Be","Wa,Li","Ki,Wa",Wc,"Li,Ki","Ki,Li","Mb,Ba",Ha,Ha,Ha,Be,Li,Ha,Li,Li,Ha,Ha,Li,Ki,Mb
1.5,3,0.6,0.6,3,1.5,1.5,3,4.5,3.9,3,1.5,0.6,2.5,3.9,1.2,3,4,2.1,1.5,3,6,4.5,3,3,4.5,3.75,11.7,0.72,1.8,12,3.15,2.25,9,27,17.55,9,4.5,2.7,0.6,0.77,0.5,0.2,0.75,0.71,1,1,0.75,0.87,1,0.5,0.13,0.046296296,0.144444444,0.008888889,0.022222222,0.148148148,0.038888889,0.027777778,0.111111111,0.333333333,0.216666667,0.111111111,0.055555556,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ha,"Ha,Cl","Ha,Cl",Be,Ki,Li,"Li,Ba,Be","Wa,Li","Ki,Wa",Wc,"Li,Ki","Ki,Li","Mb,Ba",Ha,Ha,Ha,Be,Li,Ha,Li,Li,Ha,Ha,Li,Ki,Mb
1.5,3,0.6,0.6,3,1.5,1.5,3,4.5,3.9,3,1.5,0.6,2.5,3.9,1.2,3,4,2.1,1.5,3,6,4.5,3,3,4.5,3.75,11.7,0.72,1.8,12,3.15,2.25,9,27,17.55,9,4.5,2.7,0.6,0.77,0.5,0.2,0.75,0.71,1,1,0.75,0.87,1,0.5,0.13,0.046296296,0.144444444,0.008888889,0.022222222,0.148148148,0.038888889,0.027777778,0.111111111,0.333333333,0.216666667,0.111111111,0.055555556,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ha,"Ha,Cl","Ha,Cl",Be,Ki,Li,"Li,Ba,Be","Wa,Li","Ki,Wa",Wc,"Li,Ki","Ki,Li","Mb,Ba",Ha,Ha,Ha,Be,Li,Ha,Li,Li,Ha,Ha,Li,Ki,Mb
1.5,3,0.6,0.6,3,1.5,1.5,3,4.5,3.9,3,1.5,0.6,2.5,3.9,1.2,3,4,2.1,1.5,3,6,4.5,3,3,4.5,3.75,11.7,0.72,1.8,12,3.15,2.25,9,27,17.55,9,4.5,2.7,0.6,0.77,0.5,0.2,0.75,0.71,1,1,0.75,0.87,1,0.5,0.13,0.046296296,0.144444444,0.008888889,0.022222222,0.148148148,0.038888889,0.027777778,0.111111111,0.333333333,0.216666667,0.111111111,0.055555556,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ha,"Ha,Cl","Ha,Cl",Be,Ki,Li,"Li,Ba,Be","Wa,Li","Ki,Wa",Wc,"Li,Ki","Ki,Li","Mb,Ba",Ha,Ha,Ha,Be,Li,Ha,Li,Li,Ha,Ha,Li,Ki,Mb
1.5,3,0.6,0.6,3,1.5,1.5,3,4.5,3.9,3,1.5,0.6,2.5,3.9,1.2,3,4,2.1,1.5,3,6,4.5,3,3,4.5,3.75,11.7,0.72,1.8,12,3.15,2.25,9,27,17.55,9,4.5,2.7,0.6,0.77,0.5,0.2,0.75,0.71,1,1,0.75,0.87,1,0.5,0.13,0.046296296,0.144444444,0.008888889,0.022222222,0.148148148,0.038888889,0.027777778,0.111111111,0.333333333,0.216666667,0.111111111,0.055555556,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ha,"Ha,Cl","Ha,Cl",Be,Ki,Li,"Li,Ba,Be","Wa,Li","Ki,Wa",Wc,"Li,Ki","Ki,Li","Mb,Ba",Ha,Ha,Ha,Be,Li,Ha,Li,Li,Ha,Ha,Li,Ki,Mb
1.5,3,0.6,0.6,3,1.5,1.5,3,4.5,3.9,3,1.5,0.6,2.5,3.9,1.2,3,4,2.1,1.5,3,6,4.5,3,3,4.5,3.75,11.7,0.72,1.8,12,3.15,2.25,9,27,17.55,9,4.5,2.7,0.6,0.77,0.5,0.2,0.75,0.71,1,1,0.75,0.87,1,0.5,0.13,0.046296296,0.144444444,0.008888889,0.022222222,0.148148148,0.038888889,0.027777778,0.111111111,0.333333333,0.216666667,0.111111111,0.055555556,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ha,"Ha,Cl","Ha,Cl",Be,Ki,Li,"Li,Ba,Be","Wa,Li","Ki,Wa",Wc,"Li,Ki","Ki,Li","Mb,Ba",Ha,Ha,Ha,Be,Li,Ha,Li,Li,Ha,Ha,Li,Ki,Mb
1.5,3,0.6,0.6,3,1.5,1.5,3,4.5,3.9,3,1.5,0.6,2.5,3.9,1.2,3,4,2.1,1.5,3,6,4.5,3,3,4.5,3.75,11.7,0.72,1.8,12,3.15,2.25,9,27,17.55,9,4.5,2.7,0.6,0.77,0.5,0.2,0.75,0.71,1,1,0.75,0.87,1,0.5,0.13,0.046296296,0.144444444,0.008888889,0.022222222,0.148148148,0.038888889,0.027777778,0.111111111,0.333333333,0.216666667,0.111111111,0.055555556,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ha,"Ha,Cl","Ha,Cl",Be,Ki,Li,"Li,Ba,Be","Wa,Li","Ki,Wa",Wc,"Li,Ki","Ki,Li","Mb,Ba",Ha,Ha,Ha,Be,Li,Ha,Li,Li,Ha,Ha,Li,Ki,Mb
